"","GSM856203","GSM856204","GSM856205","GSM856206","GSM856207","GSM856208","GSM856209","GSM856210","GSM856211","GSM856212","GSM856213","GSM856214","GSM856215","GSM856216","GSM856217","GSM856218","GSM856219","GSM856220","GSM856221","GSM856222","GSM856223","GSM856224","GSM856225","GSM856226","GSM856227","GSM856228","GSM856229","GSM856230","GSM856231","GSM856232","GSM856233","GSM856234","GSM856235","GSM856236","GSM856237","GSM856238","GSM856239","GSM856240","GSM856241","GSM856242","GSM856243","GSM856244","GSM856245","GSM856246","GSM856247","GSM856248","GSM856249","GSM856250","GSM856251","GSM856252","GSM856253","GSM856254","GSM856255","GSM856256","GSM856257","GSM856258","GSM856259","GSM856260","GSM856261","GSM856262","GSM856263","GSM856264","GSM856265","GSM856266","GSM856267","GSM856268","GSM856269","GSM856270","GSM856271","GSM856272","GSM856273","GSM856274","GSM856275","GSM856276","GSM856277","GSM856278","GSM856279","GSM856280"
"SERPINF1",43.7,17.3,23.1,17.5,16.5,12.7,28.7,17.4,30.8,51,97.7,163.9,80,24.5,52.6,248.9,57.6,17.6,128.8,179.6,224.3,113.9,42.2,96,16.6,118.8,281.3,329.9,160.4,1938,1846,17.5,1370,173.8,391.5,1719,737.7,280.4,199.8,134.2,23.7,92.6,11,88.5,282.1,184,182.2,178.9,187.6,122.2,36.8,102.4,36.7,152.3,96.9,124.3,193.4,179.8,118.1,26.9,213.7,49.2,51.1,149.6,49,199.8,118.2,33.4,2294,706.5,999.6,362.1,299.7,36.9,683.3,327.3,642.1,711.7
"ITM2A",1959,721.3,902.9,1985,3653,2559,2352,697,1042,541.9,1028,839.3,1557,600.8,1880,1282,2077,980.9,3897,373.7,720.1,304.5,1191,1240,203.6,396,256.3,398.3,502.9,1228,13982,7436,9340,7596,7463,2687,999.7,1758,3947,2370,1450,756,2292,230.6,445.8,286.1,2454,477.2,391.7,340.6,301.7,1108,1306,166.5,482.6,148.9,264.8,174,108.6,258,144.8,7998,2052,1052,2879,678.5,1146,1758,3030,246.4,7393,9088,360.5,597.3,1390,1878,10201,3006
"ITM2A-2",2215,1142,1154,2091,3691,2828,2232,808.7,1456,855.3,2448,1241,1284,507.6,2980,1504,2230,1011,5341,582.3,1523,441.1,1067,1487,305.2,450.2,570.2,161.9,688.8,1451,20298,11006,11935,11000,11047,3133,897.9,2093,6408,4763,616.1,1368,2418,209.1,536.5,454.2,3111,731.3,518.4,939.4,325.1,1914,1285,261.1,799.4,144.6,518.6,247.6,142.2,195.7,288.2,11487,2238,1312,5367,1293,2220,2557,3477,484.8,11540,13028,604.9,837.3,1525,3004,11186,3566
"GYPC",1024,1377,1170,815.6,3161,1149,698.3,745.1,1103,3492,1724,1863,1866,512.2,1015,1568,4247,800.4,11125,521.2,1366,528.4,802.4,2215,502.3,5105,1212,639.7,724.6,2542,9530,12611,8739,5516,11200,2446,5735,845.6,4939,5593,1586,2127,2738,6164,3350,954.7,772.9,947.1,1484,946.7,1453,1140,811.1,614.3,755.7,695.4,572.4,2288,416.8,1545,655.3,1013,6551,1262,1757,1158,829,865.1,10312,10876,15969,8482,1158,551.1,1778,2127,11270,8947
"FECH",978.6,1053,1464,824.5,2271,576.3,937,1093,892.2,1436,434,627.7,838.7,749.9,1048,1350,1536,418.5,4089,767.8,611.6,561.9,770.8,1006,967.1,2422,1121,616.7,873.8,3256,4804,3478,4173,1440,4229,684.1,5548,584.9,1169,851.1,1337,980.8,453.4,4149,1956,535,833.8,841.6,748.2,668.5,474.2,770.9,667.9,757.6,894.2,789,724.7,1473,1150,718.6,574.2,1027,745.4,477.1,1268,830.5,837.6,1332,6104,2784,4844,1582,820.4,683.6,634.3,729.3,4978,988.4
"PPP1R26",327.9,184.6,758.4,500.8,303,160.8,494.5,722.6,379.1,279.9,295.5,308.5,248.9,364.1,350.2,149.6,284.7,279,97.3,189.3,178.7,262.3,499,365.1,283.5,403.5,249.3,258.6,327.5,48.1,100.3,13.3,195,109.2,192.8,13.3,37.5,29.3,56.2,86.9,376,255.1,190.7,223.4,111.9,276.8,351.6,184,183.1,247.2,320.6,210.6,215.5,222,175.9,345.9,200.8,272.8,275.9,296.3,216.4,122.4,42.8,214,393.1,277.1,156.9,211.8,20.8,19.9,268.7,79.6,137.1,19.6,104,48.9,150.2,9
"FZD6",117.6,28,37.2,26.2,26.2,53.7,18.8,81.9,112.1,85.6,87.7,8.3,56.8,116.6,99.3,104.8,49.1,103.6,73.1,104,86.2,110.1,49.5,51,30.1,40.7,109,29.2,29.2,282.5,367.7,915.5,205.4,85.1,36.9,84.2,128.9,65.5,80.7,173.3,78.6,77.1,6.9,54.5,47.1,61.2,130.6,108.7,58.4,33.6,54.9,71.6,29.4,28.1,44,23.1,58.6,77.1,43.6,51.3,37.6,95.6,56,183.2,45.4,54.6,98.9,117.3,51.3,69.3,656.2,80.6,63.2,80.7,375.1,117.8,56.1,95.8
"MEIS1",2350,1193,1964,1476,2016,2198,1044,1223,2139,1663,2851,1495,2483,2031,1897,2868,1396,5212,2794,512.7,634.4,1593,2540,1673,683.4,863.2,424.2,433.1,452.1,160.8,46.7,44,8.8,56.7,93.5,166,178.9,336.6,5,958,2785,705.1,1883,602.5,1990,981,1382,499.5,924.3,337.6,414.5,913.3,1112,1259,2090,974.6,278.1,698.1,742,326.8,284.1,503.8,1118,1241,939.2,390.5,855.3,930.5,86.9,127.7,46.8,94.3,118.1,670.9,372.3,482.1,33.3,55.1
"PBX3",2359,2760,1929,1780,1399,2669,2008,2416,1513,2647,588.3,1845,2062,2430,2693,2396,3101,2511,2026,1471,1595,2614,2335,2056,1938,2361,1315,1793,2004,743.1,389.6,48,500.8,265.8,167.6,27.8,474.7,1178,648.6,1822,3252,823.8,1860,1235,1223,1551,3384,1481,2505,1170,1565,1696,1359,1346,1870,3829,1387,1176,1960,1144,1688,724.9,2864,2008,3165,1208,1882,2034,485.7,867.6,461.3,319.4,1171,1144,996.3,594.1,278.3,480
"CDKN2C",432.7,660.6,160.4,204,360.2,164.4,67.1,120.8,367,160.4,239.1,83.6,246.8,172.1,276,716.1,678.1,166.9,372,382.3,212,267.3,194.4,212.9,210.9,419,783.2,336.9,576,469.8,1070,824.2,1618,1788,1104,1057,320.5,587.5,1149,595.4,126.4,1109,331.4,650.4,585.3,258.2,93.1,825.8,643.6,415,319.1,597.4,219,680.6,132.9,763.5,876.4,349.6,280.4,151.8,516.2,642.9,99,124.8,101.9,295.2,375.6,358.8,382.3,1128,1147,852.7,739.9,631.8,2143,1248,985.6,1349
"PROM1",65.4,35.9,67.8,65.3,223.7,90,194,153.9,231.1,109.4,11.7,169.8,74.8,280.7,67.5,647.8,508.1,22.7,4.2,366.3,122.3,90.8,24.3,215.6,121.8,790.4,235.7,217.5,286.3,1671,1498,2075,1567,1193,1698,1015,759.6,158.4,1904,181.6,940.1,771.2,66.1,296.1,634,516.4,74.7,264.1,111.6,324.4,184,175.4,1689,253.6,87.1,103.3,342.4,123,350.3,87.7,40.5,71.5,2645,541.5,1320,334.3,194.6,52.4,3029,769.9,3835,1927,482.8,1162,461.7,367.2,2610,1095
"ASB9",98.7,242.6,71.2,109.8,46.2,29.2,69,16,104,124.6,129,41.6,81.1,43.9,91.5,47.2,50.5,71.9,87.6,90.1,113.5,52.5,18.1,148.4,77,81.8,98,78.1,75.5,83.4,189.2,188.8,271.5,335.4,210.1,92.7,89.7,95.6,387.4,44.2,55.4,139.4,137.7,137.3,96.2,104.7,276.1,115.6,92.3,133,102.5,69.5,44.4,126.7,27.1,107.3,89.7,92.4,55.4,22,77.2,79.7,85.5,99.3,69.3,56.7,110.3,361.7,251.4,204.6,201.2,260.4,88.4,73.9,148.3,155.6,330.9,236.1
"SPIB",43.4,113.1,181.9,98.5,54.4,24.3,57,93.5,53.8,153.4,122.7,23.9,87.9,107.7,22.6,54.4,99.5,85.8,23.4,139.7,54.9,79.3,73.5,15,123.7,123,95.4,76.5,97.8,4447,69.6,108.3,35.5,30.1,68.3,229.7,256.8,161.2,112.8,69.4,103.4,35.9,91.6,72.1,93.6,54.6,91.7,95.8,121.2,81.2,97.8,49.2,139.5,84.6,53,88.9,79.3,121.9,146.5,28.9,21.5,101.8,65.8,206.4,83.1,64.6,115.7,41,345.1,60.8,87.2,17.4,16.7,132.8,114.3,115.6,60.8,105
"CTSE",112.6,76.3,276,105.8,307,126.8,147.7,153,117.5,121.3,98.9,54.2,165.7,111.7,219.1,218.1,74.9,140.3,82.5,124.5,115,123.3,95.6,244.3,143.3,191.7,163.3,190.9,182.5,106.3,666.1,143.4,2323,148.9,897,175.2,651.9,142.1,239.3,77,148.7,139.8,130.5,125.2,252.1,160.6,254.1,111.6,209.1,136.9,165.5,187.8,101.9,121.4,119.9,177.3,129.2,325.3,175.1,256.5,141.4,158.6,125,202.7,128.1,191.7,79.5,256.2,246.1,105.3,1830,258.1,107.1,289.3,232.9,142.7,889.7,272.9
"GPA33",192.9,20.9,196.8,161.3,129.8,130.3,214.6,40.2,69.5,186,185,181.7,163.5,21.4,28.7,83.8,87.9,76.9,65.6,192.9,107.6,230.4,183,85.9,55.6,316.7,167.2,204.1,33.8,163.4,282.6,147.5,1401,180.5,608,494,288.3,153.1,1233,44.8,310.1,283.1,115,148.3,77.7,20.6,139.5,28.4,103.6,272.5,73.6,21.7,98.7,270.3,179.2,94.8,180,62.5,74.1,122,238,271.6,56,188.7,85.6,171.7,68.7,75.7,211.7,427.6,185.4,672,516.7,120.2,239.3,143.7,640.7,129.2
"HOXA4",370.2,381.2,642.3,407.9,328.6,623.1,635.4,500.8,416.4,384.3,984.5,310.9,634.5,703.8,439.2,680.2,436.4,810.3,505.3,124.4,232.6,310.6,760.4,676.6,227.6,254.7,301.3,288,125.7,124.2,83.7,72.2,170,55.1,196.9,23.6,192.6,114.1,88.1,577.8,596.2,524.1,430.8,350.3,345.7,368.7,504.3,337,364,311.5,295.5,346,299.9,630.6,541.9,209.8,263,259.2,350.7,297.9,221.2,291.4,446.5,465.9,330.1,387.7,339.3,280.8,168.7,129.6,69.7,184.9,144.8,135.6,362.4,325.4,93.4,179.1
"ARHGAP22",901.1,1164,337,578.5,535.2,190.9,388.6,224.2,338.8,832,304.4,1322,315.1,709.1,337.7,795.8,1103,201.6,151.1,256.9,300.5,187.1,207.2,391,176.1,399.7,151.2,139.9,89.9,12.2,35.2,11.1,19.5,15.9,31.1,34.8,17,125.4,16.6,78.8,547.5,311.5,1268,148.9,206.4,151.3,478.7,314.9,66.8,96.1,148.1,354,1037,213.5,134.5,36.4,144,29.7,118.4,75.9,15,798.9,441.5,174.5,742.7,171.2,219,225.9,26,60.3,21.7,11.6,42.6,265.1,54.9,196.6,49,68
